Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	108.245
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.0616
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	105.3979
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	151.959
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	112.7913
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	103.2773
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	112.9819
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	104.4067
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	369.9584
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	555.3579
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	384.2068
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.0316
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2747.3322
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1034.4876
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1038.2139
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1038.7834
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2662.8841
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1034.3910
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1037.9565
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	10.9791
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.6154
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.5000
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.5000
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.6154
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9076
Bandhan Banking and PSU Fund - Direct Annual IDCW	12.4565
Bandhan Banking and PSU Fund - Direct Daily IDCW	10.4768
Bandhan Banking and PSU Fund - Direct Fortnightly IDCW	10.4831
Bandhan Banking and PSU Fund - Direct Growth	25.6044
Bandhan Banking and PSU Fund - Direct IDCW	13.4686
Bandhan Banking and PSU Fund - Direct Monthly IDCW	10.4450
Bandhan Banking and PSU Fund - Direct Quarterly IDCW	10.9794
Bandhan Banking and PSU Fund - Regular Annual IDCW	11.4546
Bandhan Banking and PSU Fund - Regular Daily IDCW	10.8788
Bandhan Banking and PSU Fund - Regular Fortnightly IDCW	10.6348
Bandhan Banking and PSU Fund - Regular Growth	24.8654
Bandhan Banking and PSU Fund - Regular IDCW	13.4272
Bandhan Banking and PSU Fund - Regular Monthly IDCW	10.6888
Bandhan Banking and PSU Fund - Regular Quarterly IDCW	10.8749
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.4243
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	13.0379
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.5798
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12.7450
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.2501
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.3578
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.2772
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.8163
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.1655
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.7321
DSP Banking & PSU Debt Fund - Direct Plan - Growth	25.1233
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.5949
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1610
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.3788
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly 	10.4342
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly	10.1729
DSP Banking & PSU Debt Fund - Regular Plan - Growth	24.2513
DSP Banking & PSU Debt Fund - Regular Plan - IDCW	10.5807
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest	10.1586
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly	10.3653
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly 	10.4234
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly	10.1698
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option	25.7625
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option	18.7264
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option	14.5203
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option	10.9045
